source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Scheduling	CPT HCPCS Codes	24	16	2
Clinical Reminders	Order Entry Results Reporting	23	13	13
Enrollment Application System	Health Level Seven	23	11	6
PAID	MailMan	23	21	5
Text Integration Utility	Consult Request Tracking	23	12	8
VDEF	VA FileMan	23	9	4
Virtual Patient Record	Lab Service	23	11	5
Capacity Management	Registration	22	22	2
Clinical Reminders	DRG Grouper	22	13	3
Clinical Reminders	Toolkit	22	17	5
Clinical Reminders	Womens Health	22	9	9
Enterprise Terminology Services	Enterprise Terminology Services	22	5	9
Imaging	Master Patient Index VistA	22	20	1
Income Verification Match	Scheduling	22	7	5
Integrated Billing	Automated Information Collection System	22	20	4
Integrated Billing	E Claims Management Engine	22	17	8
My HealtheVet	Registration	22	14	4
National Health Information Network	Kernel	22	12	7
Outpatient Pharmacy	Toolkit	22	18	5
Registration	Clinical Information Resource Network	22	11	4
Run Time Library	Clinical Information Resource Network	22	13	3
Scheduling	Income Verification Match	22	11	2
Uncategorized	List Manager	22	7	4
Virtual Patient Record	Scheduling	22	10	5
VistA Integration Adapter	Kernel	22	10	7
Clinical Procedures	Consult Request Tracking	21	16	7
Emergency Department Integration Software	Toolkit	21	11	1
Hospital Based Home Care	DRG Grouper	21	13	1
Incomplete Records Tracking	Registration	21	11	5
Inpatient Medications	Health Level Seven	21	13	4
Methicillin Resistant Staph Aurerus Initiative Reports	Registration	21	9	4
Mobile Scheduling Applications Suite	Scheduling	21	4	12
Outpatient Pharmacy	Scheduling	21	11	6
PCE Patient Care Encounter	Toolkit	21	17	4
Palo Alto HCS	Text Integration Utility	21	4	12
Radiology Nuclear Medicine	Order Entry Results Reporting	21	14	10
Run Time Library	Kernel	21	11	3
VBECS	VistALink	21	18	1
VDEF	VDEF	21	8	7
Vendor - Document Storage Systems	Scheduling	21	8	6
Vendor - Document Storage Systems	Text Integration Utility	21	5	11
Accounts Receivable	IFCAP	20	9	11
Automated Information Collection System	CPT HCPCS Codes	20	15	2
Controlled Substances	Health Level Seven	20	6	5
Kernel	List Manager	20	6	5
Outpatient Pharmacy	Inpatient Medications	20	17	12
Outpatient Pharmacy	M XML Parser	20	20	1
Patient Assessment Documentation	VA FileMan	20	7	6
Quasar	DRG Grouper	20	13	2
Shift Handoff Tool	Kernel	20	10	3
Shift Handoff Tool	Toolkit	20	11	2
Text Integration Utility	Health Summary	20	10	10
Vendor - ISI	Imaging	20	7	8
VistA Integration Adapter	VA FileMan	20	10	6
VistA Integration Adapter	VistA Integration Adapter	20	6	4
West Palm Beach VAMC	West Palm Beach VAMC	20	8	7
Wounded Injured and Ill Warriors	List Manager	20	6	3
Automated Medical Information Exchange	Scheduling	19	10	6
Clinical Procedures	Health Level Seven	19	13	7
Clinical Reminders	PCE Patient Care Encounter	19	14	4
Event Capture	List Manager	19	4	4
Fee Basis	DRG Grouper	19	9	3
Insurance Capture Buffer	Toolkit	19	3	4
Integrated Billing	ODS	19	19	1
Order Entry Results Reporting	VBECS	19	8	7
Release Of Information	Kernel	19	14	6
Scheduling	Master Patient Index VistA	19	19	1
Virtual Patient Record	General Medical Record - Vitals	19	7	6
Womens Health	Clinical Reminders	19	9	8
Consult Request Tracking	Master Patient Index VistA	18	9	3
Consult Request Tracking	Text Integration Utility	18	13	10
