ien	name	item_text	type	package	entry_action	exit_action
5862	XUPS B02 CLIENT HLO MPI	XUPS BO2 CLIENT HLO MPI	S	KERNEL		
5863	XUPS B02 SERVER HLO MPI	XUPS B02 SERVER HLO MPI	E	KERNEL		
5864	PXRM ORDER CHECK UPDATES	PXRM ORDER CHECK UPDATES	A	CLINICAL REMINDERS	D OIUPDATE^PXRMORHL(.XQORMSG)	
5865	XOBW WEB SERVER MENU	Web Servers	M	VISTALINK		
5866	XOBW WEB SERVER EDIT	Edit Server	A	VISTALINK	DO EDIT^XOBWU	
5867	XOBW WEB SERVER ADD	Add Server	A	VISTALINK	DO ADD^XOBWU	
5868	XOBW WEB SERVER DELETE	Delete Server	A	VISTALINK	DO DEL^XOBWU	
5869	XOBW WEB SERVER TESTER	Test Server	A	VISTALINK	DO WST^XOBWU	
5870	XOBW WEB SERVICE MENU	Web Services	M	VISTALINK		
5871	XOBW WEB SERVICE ADD	Add Service	A	VISTALINK	DO ADD^XOBWUS	
5872	XOBW WEB SERVICE EDIT	Edit Service	A	VISTALINK	DO EDIT^XOBWUS	
5873	XOBW WEB SERVICE DELETE	Delete Service	A	VISTALINK	DO DEL^XOBWUS	
5874	XOBW WEB SERVICE MANAGER	Web Service Manager	A	VISTALINK	DO WSM^XOBWU	
5875	XOBW WEB SERVER TEST WS AVAILABILITY	Check Web Service Availability	A	VISTALINK	DO AVAIL^XOBWU	
5876	XOBW ASSOCIATE MENU	ASSOCIATE LOOKUP IDS	M	VISTALINK		
5877	XOBW ASSOCIATE ADD	Add Key	A	VISTALINK	DO ADD^XOBWUA	
5878	XOBW ASSOCIATE EDIT	Edit Key	A	VISTALINK	DO EDIT^XOBWUA	
5879	XOBW ASSOCIATE DELETE	Delete Key	A	VISTALINK	DO DEL^XOBWUA	
5880	XOBW ASSOCIATE SORT	Switch Sort	A	VISTALINK	DO SORT^XOBWUA	
5881	XOBW ASSOCIATE FILTER KEY	Filter Key	A	VISTALINK	DO KFILTER^XOBWUA	
5882	XOBW ASSOCIATE FILTER SERVER	Filter Server	A	VISTALINK	DO SFILTER^XOBWUA	
5883	XOBW WEB SERVER LOOKUP KEY MANAGER	Lookup Key Manager	A	VISTALINK	DO LKM^XOBWU	
5884	PSO LM DISPLAY FDA MED GUIDE	Display FDA Medication Guide	A	OUTPATIENT PHARMACY	D DISPLAY^PSOFDAMG	Q
5885	PSO LM INTERVENTION MENU	Intervention Menu	M	OUTPATIENT PHARMACY		S VALMBCK="R"
5886	PSO LM DELETE INTERVENTION	Delete Intervention	A	OUTPATIENT PHARMACY	D FULL^VALM1,^PSODELI	
5887	PSO LM EDIT INTERVENTION	Edit Intervention	A	OUTPATIENT PHARMACY	D FULL^VALM1,EDIT^PSODELI	
