protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
DG CO-PAY TEST STATUS		entry		DGMTCOST	do	1
DG MEANS TEST AUDIT		entry	EN	DGMTAUD	do	1
DG MEANS TEST DOM		entry	EN	DGMTDOM	do	1
DG MEANS TEST REQUIRED		entry	EN	DGMTREQB	do	1
DG OERR TREATING TRANSFER	REGISTRATION	entry	LO	DGUTL	do	1
DG OERR TREATING TRANSFER	REGISTRATION	entry	INP	VADPT	do	1
DG OTH ADD 90 DAYS	REGISTRATION	entry	AP	DGOTHMG2	do	1
DG OTH PATIENT INQUIRY	REGISTRATION	entry	PI	DGOTHMG1	do	1
DG OTH SELECT PATIENT	REGISTRATION	entry	SP	DGOTHMG1	do	1
DG OTH SHOW DETAILS	REGISTRATION	entry	SD	DGOTHMG1	do	1
DG OTH SHOW PENDING	REGISTRATION	entry	PR	DGOTHMG1	do	1
DG OTH VIEW APPROVED	REGISTRATION	entry	VA	DGOTHMG1	do	1
DG OTH VIEW DENIED	REGISTRATION	entry	VD	DGOTHMG1	do	1
DGEN ADD VALID 1.2 MENU	REGISTRATION	exit	PEXIT	DGADDLST	do	1
DGEN ADDR SELECT		entry	ACT	DGADDLST	do	1
DGEN CCP ADD	REGISTRATION	entry	ACT	DGRP1152A	do	1
DGEN CCP EDIT	REGISTRATION	entry	ACT	DGRP1152A	do	1
DGEN CCP MENU	REGISTRATION	exit	PEXIT	DGRP1152A	do	1
DGEN CCP REMOVE	REGISTRATION	entry	ACT	DGRP1152A	do	1
DGEN CEASE ENROLLMENT	REGISTRATION	entry	CE	DGEN1	do	1
DGEN CHECK QUERY STATUS	REGISTRATION	entry	CHECK	DGEN1	do	1
DGEN ENROLL PATIENT	REGISTRATION	entry	EP	DGEN1	do	1
DGEN EXPAND HISTORY	REGISTRATION	entry	EH	DGEN1	do	1
DGEN HBP 11.1 MENU	REGISTRATION	exit	PEXIT	DGR111	do	1
DGEN HBP 11.1A MENU	REGISTRATION	exit	PEXIT	DGR111	do	1
DGEN HBP DETAIL		entry	ACT	DGR111	do	1
DGEN HBP VIEW	REGISTRATION	entry	ACT	DGR111	do	1
DGEN MSDS ADD	REGISTRATION	entry	ACT	DGRP61	do	1
DGEN MSDS DELETE	REGISTRATION	entry	ACT	DGRP61	do	1
