source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Clinical Case Registries	Order Entry Results Reporting	1	1	1
Clinical Case Registries	Outpatient Pharmacy	11	6	4
Clinical Case Registries	PCE Patient Care Encounter	9	4	3
Clinical Case Registries	Pharmacy Data Management	16	10	3
Clinical Case Registries	Problem List	8	4	3
Clinical Case Registries	RPC Broker	3	3	1
Clinical Case Registries	Radiology Nuclear Medicine	4	3	1
Clinical Case Registries	Registration	35	28	13
Clinical Case Registries	Scheduling	36	5	4
Clinical Case Registries	Toolkit	13	5	1
Clinical Case Registries	VA FileMan	486	160	19
Clinical Information Resource Network	CPT HCPCS Codes	1	1	1
Clinical Information Resource Network	Clinical Information Resource Network	197	58	58
Clinical Information Resource Network	Health Level Seven	62	31	11
Clinical Information Resource Network	Kernel	178	78	16
Clinical Information Resource Network	List Manager	24	9	4
Clinical Information Resource Network	MailMan	13	12	4
Clinical Information Resource Network	Master Patient Index VistA	77	44	10
Clinical Information Resource Network	Outpatient Pharmacy	1	1	1
Clinical Information Resource Network	RPC Broker	16	7	2
Clinical Information Resource Network	Registration	119	59	21
Clinical Information Resource Network	Run Time Library	44	14	14
Clinical Information Resource Network	Scheduling	5	4	1
Clinical Information Resource Network	Toolkit	3	3	2
Clinical Information Resource Network	VA FileMan	170	75	17
Clinical Monitoring System	Clinical Monitoring System	92	50	28
Clinical Monitoring System	Kernel	1	1	1
Clinical Monitoring System	MailMan	2	1	2
Clinical Monitoring System	Quality Assurance Integration	32	22	7
Clinical Monitoring System	Registration	5	5	2
Clinical Monitoring System	VA FileMan	119	54	16
Clinical Procedures	Adverse Reaction Tracking	2	2	1
Clinical Procedures	Automated Information Collection System	1	1	1
Clinical Procedures	Automated Lab Instruments	1	1	1
Clinical Procedures	CPT HCPCS Codes	5	4	1
Clinical Procedures	Clinical Procedures	298	93	69
Clinical Procedures	Consult Request Tracking	21	16	7
Clinical Procedures	DRG Grouper	7	5	2
Clinical Procedures	General Medical Record - Vitals	1	1	1
Clinical Procedures	Health Level Seven	19	13	7
Clinical Procedures	Health Summary	3	3	1
Clinical Procedures	Imaging	4	3	4
Clinical Procedures	Kernel	116	73	18
Clinical Procedures	Lexicon Utility	11	3	3
Clinical Procedures	MailMan	10	9	3
Clinical Procedures	Master Patient Index VistA	2	2	1
Clinical Procedures	Medicine	16	8	10
Clinical Procedures	Order Entry Results Reporting	6	5	3
Clinical Procedures	PCE Patient Care Encounter	12	7	4
Clinical Procedures	Registration	43	24	10
Clinical Procedures	Scheduling	12	4	4
Clinical Procedures	Text Integration Utility	44	16	9
Clinical Procedures	Toolkit	107	59	1
Clinical Procedures	VA FileMan	349	98	16
Clinical Procedures	VDEF	2	2	1
Clinical Reminders	Authorization Subscription	5	3	1
Clinical Reminders	CPT HCPCS Codes	16	12	2
Clinical Reminders	Clinical Reminders	2331	395	356
Clinical Reminders	DRG Grouper	22	13	3
Clinical Reminders	Enrollment Application System	1	1	1
Clinical Reminders	Fee Basis	3	1	1
Clinical Reminders	General Medical Record - Vitals	1	1	1
Clinical Reminders	Health Data and Informatics	5	4	1
Clinical Reminders	Health Level Seven	3	2	3
Clinical Reminders	Health Summary	2	2	2
Clinical Reminders	Inpatient Medications	2	2	2
Clinical Reminders	Kernel	624	306	17
Clinical Reminders	Lab Service	1	1	1
Clinical Reminders	Lexicon Utility	36	18	5
Clinical Reminders	List Manager	152	54	4
Clinical Reminders	MailMan	16	8	8
Clinical Reminders	Mental Health	11	6	6
Clinical Reminders	National Drug File	8	6	2
Clinical Reminders	Order Entry Results Reporting	23	13	13
Clinical Reminders	Outpatient Pharmacy	5	4	4
Clinical Reminders	PCE Patient Care Encounter	19	14	4
Clinical Reminders	Pharmacy Data Management	9	6	4
Clinical Reminders	Problem List	1	1	1
Clinical Reminders	Radiology Nuclear Medicine	2	2	2
Clinical Reminders	Registration	46	24	11
Clinical Reminders	Scheduling	17	10	6
Clinical Reminders	Text Integration Utility	6	5	3
Clinical Reminders	Toolkit	22	17	5
Clinical Reminders	VA FileMan	790	331	26
Clinical Reminders	Womens Health	22	9	9
Consult Request Tracking	Authorization Subscription	2	2	1
Consult Request Tracking	Clinical Procedures	1	1	1
Consult Request Tracking	Consult Request Tracking	670	134	125
Consult Request Tracking	DRG Grouper	4	4	1
Consult Request Tracking	Electronic Health Modernization	3	3	1
Consult Request Tracking	Enterprise Health Management Platform	1	1	1
Consult Request Tracking	General Medical Record - Vitals	2	2	1
Consult Request Tracking	Health Level Seven	35	19	7
Consult Request Tracking	Imaging	1	1	1
Consult Request Tracking	Kernel	345	148	20
Consult Request Tracking	Lexicon Utility	2	1	2
Consult Request Tracking	List Manager	94	50	3
Consult Request Tracking	MailMan	29	18	5
Consult Request Tracking	Master Patient Index VistA	18	9	3
Consult Request Tracking	Medicine	10	7	4
Consult Request Tracking	Order Entry Results Reporting	24	17	10
Consult Request Tracking	Prosthetics	3	2	2
Consult Request Tracking	RPC Broker	1	1	1
Consult Request Tracking	Registration	67	33	11
Consult Request Tracking	Scheduling	7	5	2
Consult Request Tracking	Text Integration Utility	18	13	10
Consult Request Tracking	Toolkit	28	18	2
