routine_name	package	source_path	line_count	byte_size	tag_count	comment_line_count	version_line	is_percent_routine	in_file_9_8	file_9_8_type	rpc_count	option_count	protocol_invoked_count	out_degree	in_degree	out_calls_total	in_calls_total	distinct_globals_touched	global_ref_total
DVBCWCS2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCS2.m	28	989	4	3	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWCS3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCS3.m	67	2369	2	65	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWCS4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCS4.m	28	989	4	3	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWCS5	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWCS5.m	82	3627	2	80	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDI	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI.m	28	981	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDI1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI1.m	91	2396	2	89	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDI2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI2.m	133	5402	2	131	;;2.7;AMIE;**69**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDI3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI3.m	28	1002	4	3	;;2.7;AMIE;**131**;Apr 10, 1995;Build 4	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDI4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI4.m	75	3520	2	73	;;2.7;AMIE;**131**;Apr 10, 1995;Build 4	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDI5	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI5.m	39	2158	2	37	;;2.7;AMIE;**131**;Apr 10, 1995;Build 4	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDI6	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI6.m	28	1002	4	3	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDI7	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI7.m	104	5507	2	102	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDI8	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDI8.m	39	2136	2	37	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDIA	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDIA.m	28	982	4	3	;;2.7;AMIE;**69**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDM	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDM.m	34	1276	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDM1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDM1.m	47	1333	2	45	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDM2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDM2.m	34	1286	4	3	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDM3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDM3.m	69	2878	2	67	;;2.7;AMIE;**164**;Apr 10, 1995;Build 2	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDO	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDO.m	28	978	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDO1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDO1.m	53	1599	2	51	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWDO2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDO2.m	28	988	4	3	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWDO3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWDO3.m	117	5607	2	115	;;2.7;AMIE;**183**;Apr 10, 1995;Build 8	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEA	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA.m	28	1018	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEA1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA1.m	116	4113	2	114	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEA2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA2.m	37	1274	4	7	;;2.7;AMIE;**46**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEA3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA3.m	114	5160	2	112	;;2.7;AMIE;**46**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEA4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA4.m	37	1284	4	7	;;2.7;AMIE;**118**;Apr 10, 1995;Build 3	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEA5	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA5.m	159	7735	2	157	;;2.7;AMIE;**118**;Apr 10, 1995;Build 3	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEA6	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA6.m	37	1281	4	7	;;2.7;AMIE;**170**;Apr 10, 1995;Build 1	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEA7	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEA7.m	148	7450	2	146	;;2.7;AMIE;**170**;Apr 10, 1995;Build 1	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWED	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWED.m	28	967	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
