caller_routine	caller_package	callee_tag	callee_routine	kind	ref_count
DGX5F3	Registration	LABEL	DIALOGZ	func	5
DGX5F3	Registration	M	DIE17	goto	1
DGX5F3	Registration	N	DIE17	goto	5
DGX5F3	Registration	NOSCR	DIED	do	1
DGX5F3	Registration	OUT	DIE17	goto	11
DGX5F3	Registration	RW	DIR2	goto	1
DGX5F3	Registration	SET	DIED	do	1
DGX5F3	Registration	SET	DIQ	func	1
DGX5F3	Registration	UNIQFERR	DIE17	goto	1
DGX5F3	Registration	Z	DIE17	goto	1
DGX5F3	Registration	Z	DIE2	goto	1
DGX5F4	Registration	KPTFMD	DGPTDDCR	do	25
DGX5F4	Registration	NOTIFY	DGPTDD	do	2
DGX5F4	Registration	SPTFMD	DGPTDDCR	do	25
DGX5FD	Registration		DIE17	goto	1
DGX5FD	Registration	AST	DIED	goto	1
DGX5FD	Registration	CENSUS	DGPTIC10	do	1
DGX5FD	Registration	CODESYS	DGPTIC10	func	1
DGX5FD	Registration	E	DIE0	do	2
DGX5FD	Registration	EZBLD	DIALOG	func	2
DGX5FD	Registration	F	DIE17	do	11
DGX5FD	Registration	FIREREC	DIE17	do	11
DGX5FD	Registration	GETTMP	DIKC1	func	1
DGX5FD	Registration	LABEL	DIALOGZ	func	1
DGX5FD	Registration	M	DIE17	goto	1
DGX5FD	Registration	N	DIE17	goto	1
DGX5FD	Registration	NOSCR	DIED	do	1
DGX5FD	Registration	OUT	DIE17	goto	11
DGX5FD	Registration	RW	DIR2	goto	1
DGX5FD	Registration	SET	DIED	do	1
DGX5FD	Registration	SET	DIQ	func	1
DGX5FD	Registration	UNIQFERR	DIE17	goto	1
DGX5FD	Registration	Z	DIE17	goto	1
DGX5FD	Registration	Z	DIE2	goto	1
DGX5FD1	Registration		%DT	do	1
DGX5FD1	Registration		DGX5FD2	goto	1
DGX5FD1	Registration		DIC	do	1
DGX5FD1	Registration		DICR	do	7
DGX5FD1	Registration		DIE17	goto	1
DGX5FD1	Registration	AST	DIED	goto	1
DGX5FD1	Registration	CREF	DILF	func	4
DGX5FD1	Registration	E	DIE0	do	2
DGX5FD1	Registration	EZBLD	DIALOG	func	1
DGX5FD1	Registration	F	DIE17	do	35
DGX5FD1	Registration	FIREREC	DIE17	do	29
DGX5FD1	Registration	GETAPI	DGICDGT	do	3
DGX5FD1	Registration	LABEL	DIALOGZ	func	11
DGX5FD1	Registration	M	DIE17	goto	1
DGX5FD1	Registration	N	DIE17	goto	1
DGX5FD1	Registration	NOSCR	DIED	do	1
DGX5FD1	Registration	OREF	DILF	func	4
DGX5FD1	Registration	OUT	DIE17	goto	29
DGX5FD1	Registration	POA501	DGPTFUT1	func	3
DGX5FD1	Registration	RW	DIR2	goto	1
DGX5FD1	Registration	SET	DIED	do	1
DGX5FD1	Registration	SET	DIQ	func	1
DGX5FD1	Registration	UNIQFERR	DIE17	goto	1
DGX5FD1	Registration	Z	DIE17	goto	1
DGX5FD1	Registration	Z	DIE2	goto	1
DGX5FD10	Registration	KPTFMD	DGPTDDCR	do	25
DGX5FD10	Registration	NOTIFY	DGPTDD	do	2
DGX5FD10	Registration	SPTFMD	DGPTDDCR	do	25
DGX5FD2	Registration		DGX5FD3	do	1
DGX5FD2	Registration		DGX5FD4	goto	1
DGX5FD2	Registration		DICR	do	9
DGX5FD2	Registration		DIE17	goto	1
DGX5FD2	Registration	AST	DIED	goto	1
DGX5FD2	Registration	CREF	DILF	func	5
DGX5FD2	Registration	E	DIE0	do	1
DGX5FD2	Registration	EZBLD	DIALOG	func	1
DGX5FD2	Registration	F	DIE17	do	36
DGX5FD2	Registration	FIREREC	DIE17	do	30
DGX5FD2	Registration	GETAPI	DGICDGT	do	5
DGX5FD2	Registration	LABEL	DIALOGZ	func	10
DGX5FD2	Registration	M	DIE17	goto	1
DGX5FD2	Registration	NOSCR	DIED	do	1
DGX5FD2	Registration	OREF	DILF	func	5
DGX5FD2	Registration	OUT	DIE17	goto	30
DGX5FD2	Registration	POA501	DGPTFUT1	func	5
DGX5FD2	Registration	RW	DIR2	goto	1
DGX5FD2	Registration	SET	DIED	do	1
DGX5FD2	Registration	SET	DIQ	func	1
DGX5FD2	Registration	UNIQFERR	DIE17	goto	1
DGX5FD2	Registration	Z	DIE17	goto	1
DGX5FD2	Registration	Z	DIE2	goto	1
DGX5FD3	Registration		DICR	do	1
DGX5FD4	Registration		DGX5FD5	do	1
DGX5FD4	Registration		DGX5FD6	goto	1
DGX5FD4	Registration		DICR	do	2
DGX5FD4	Registration		DIE17	goto	1
DGX5FD4	Registration	AST	DIED	goto	1
DGX5FD4	Registration	CREF	DILF	func	5
DGX5FD4	Registration	E	DIE0	do	1
DGX5FD4	Registration	EZBLD	DIALOG	func	1
DGX5FD4	Registration	F	DIE17	do	36
DGX5FD4	Registration	FIREREC	DIE17	do	30
DGX5FD4	Registration	GETAPI	DGICDGT	do	5
DGX5FD4	Registration	LABEL	DIALOGZ	func	10
DGX5FD4	Registration	M	DIE17	goto	1
DGX5FD4	Registration	NOSCR	DIED	do	1
DGX5FD4	Registration	OREF	DILF	func	5
DGX5FD4	Registration	OUT	DIE17	goto	30
DGX5FD4	Registration	POA501	DGPTFUT1	func	5
DGX5FD4	Registration	RW	DIR2	goto	1
DGX5FD4	Registration	SET	DIED	do	1
DGX5FD4	Registration	SET	DIQ	func	1
DGX5FD4	Registration	UNIQFERR	DIE17	goto	1
DGX5FD4	Registration	Z	DIE17	goto	1
DGX5FD4	Registration	Z	DIE2	goto	1
DGX5FD6	Registration		DGX5FD7	goto	1
DGX5FD6	Registration		DIE17	goto	1
DGX5FD6	Registration	AST	DIED	goto	1
DGX5FD6	Registration	CREF	DILF	func	5
DGX5FD6	Registration	E	DIE0	do	1
DGX5FD6	Registration	EZBLD	DIALOG	func	1
DGX5FD6	Registration	F	DIE17	do	36
DGX5FD6	Registration	FIREREC	DIE17	do	30
DGX5FD6	Registration	GETAPI	DGICDGT	do	5
DGX5FD6	Registration	LABEL	DIALOGZ	func	10
