routine	entry_index	line_text	tag_offset	error_text
DG53726A	1	1	DG53726A	S - First line of routine violates the SAC.
DG53726A	2	52	EN+46	W - Null line (no commands or comment).
DG53735P	1	1	DG53735P	S - First line of routine violates the SAC.
DG5389PI	1	1	DG5389PI	S - First line of routine violates the SAC.
DG5389PT	1	1	DG5389PT	S - First line of routine violates the SAC.
DG53A564	1	1	DG53A564	S - First line of routine violates the SAC.
DG53E451	1	1	DG53E451	S - First line of routine violates the SAC.
DG53P640	1	1	DG53P640	S - First line of routine violates the SAC.
DG53P766	1	1	DG53P766	S - First line of routine violates the SAC.
DG53P769	1	1	DG53P769	S - First line of routine violates the SAC.
DG53P936	1	1	DG53P936	S - First line of routine violates the SAC.
DG53P939	1	1	DG53P939	S - First line of routine violates the SAC.
DG681PRE	1	1	DG681PRE	S - First line of routine violates the SAC.
DG681PST	1	1	DG681PST	S - First line of routine violates the SAC.
DG685PST	1	1	DG685PST	S - First line of routine violates the SAC.
DG687PRE	1	1	DG687PRE	S - First line of routine violates the SAC.
DG687PST	1	1	DG687PST	S - First line of routine violates the SAC.
DG696PRE	1	1	DG696PRE	S - First line of routine violates the SAC.
DG696PST	1	1	DG696PST	S - First line of routine violates the SAC.
DG702PRE	1	1	DG702PRE	S - First line of routine violates the SAC.
DG702PST	1	1	DG702PST	S - First line of routine violates the SAC.
DG737PRE	1	1	DG737PRE	S - First line of routine violates the SAC.
DG737PST	1	1	DG737PST	S - First line of routine violates the SAC.
DG774PF	1	1	DG774PF	S - First line of routine violates the SAC.
DGAUDIT	1	115	RESTPOST+13	W - Vendor specific code is restricted.]
DGAUDIT	2	128	RESTPOST+26	W - Vendor specific code is restricted.]
DGAUDIT	3	130	RESTPOST+28	W - Vendor specific code is restricted.]
DGAUDIT	4	131	RESTPOST+29	W - Vendor specific code is restricted.]
DGAUDIT	5	143	RESTPOST+41	W - Vendor specific code is restricted.]
DGAUDIT	6	144	RESTPOST+42	W - Vendor specific code is restricted.]
DGAUDIT1	1	291	ERRSPMSG+4	W - Vendor specific code is restricted.]
DGBTALTI	1	1	DGBTALTI	S - First line of routine violates the SAC.
DGBTCDSP	1	1	DGBTCDSP	S - First line of routine violates the SAC.
