file_number	piks	piks_method	piks_confidence	piks_evidence
420.11	I	H-05	certain	inherits from 420.1
420.12	I	H-05	certain	inherits from 420.1
420.13	I	H-15	moderate	package=IFCAP (PRC)
420.131	I	H-15	moderate	package=IFCAP (PRC)
420.132	I	H-15	moderate	package=IFCAP (PRC)
420.133	I	H-15	moderate	package=IFCAP (PRC)
420.134	I	H-15	moderate	package=IFCAP (PRC)
420.135	I	H-15	moderate	package=IFCAP (PRC)
420.136	I	H-15	moderate	package=IFCAP (PRC)
420.137	I	H-15	moderate	package=IFCAP (PRC)
420.138	I	H-15	moderate	package=IFCAP (PRC)
420.14	I	H-15	moderate	package=IFCAP (PRC)
420.141	I	H-15	moderate	package=IFCAP (PRC)
420.15	I	H-15	moderate	package=IFCAP (PRC)
420.16	I	H-15	moderate	package=IFCAP (PRC)
420.17	I	H-15	moderate	package=IFCAP (PRC)
420.18	I	H-15	moderate	package=IFCAP (PRC)
420.19	I	H-15	moderate	package=IFCAP (PRC)
420.1999	I	H-15	moderate	package=IFCAP (PRC)
420.2	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
420.21	I	H-05	certain	inherits from 420.2
420.3	I	H-15	moderate	package=IFCAP (PRC)
420.4	I	H-15	moderate	package=IFCAP (PRC)
420.5	I	H-15	moderate	package=IFCAP (PRC)
420.51	I	H-15	moderate	package=IFCAP (PRC)
420.52	I	H-15	moderate	package=IFCAP (PRC)
420.53	I	H-15	moderate	package=IFCAP (PRC)
420.54	I	H-15	moderate	package=IFCAP (PRC)
420.55	I	H-15	moderate	package=IFCAP (PRC)
420.6	I	H-15	moderate	package=IFCAP (PRC)
420.7	I	H-15	moderate	package=IFCAP (PRC)
420.8	I	H-15	moderate	package=IFCAP (PRC)
420.9	I	H-15	moderate	package=IFCAP (PRC)
420.91	I	H-05	certain	inherits from 420.9
420.911	I	H-05	certain	inherits from 420.91
420.92	I	H-15	moderate	package=IFCAP (PRC)
420.923	I	H-05	certain	inherits from 420.92
420.924	I	H-05	certain	inherits from 420.92
