file_number	file_name	global_root	parent_file	field_count	pointer_in	pointer_out	record_count	is_dinum	piks	piks_method	piks_confidence	piks_evidence	piks_secondary	volatility	sensitivity	portability	volume	subdomain	status
8925.61	DESCRIPTION SUB-FIELD	^TIU(8925.6,	8925.6	1	0	0													extracted
8925.699	EFFECTIVE DATE/TIME SUB-FIELD	^TIU(8925.6,	8925.6	2	0	0													extracted
8925.7	TIU MULTIPLE SIGNATURE	^TIU(8925.7,		9	0	3	115	N											extracted
8925.71	TIU TEXT EVENTS	^TIU(8925.71,		11	0	2	1	N											extracted
8925.714	CPRS TEAM SUB-FIELD	^TIU(8925.71,	8925.71	1	0	1													extracted
8925.715	VISIT LOCATION SUB-FIELD	^TIU(8925.71,	8925.71	1	0	1													extracted
8925.8	TIU SEARCH CATEGORIES	^TIU(8925.8,		7	0	1	16	N											extracted
8925.9	TIU PROBLEM LINK	^TIU(8925.9,		6	0	5	18	N											extracted
8925.91	TIU EXTERNAL DATA LINK	^TIU(8925.91,		3	0	2	1	N											extracted
8925.93	TIU PRINT PARAMETERS	^TIU(8925.93,		5	0	2	8	N											extracted
8925.94	TIU DIVISION PRINT PARAMETERS	^TIU(8925.94,		4	0	2	4	N											extracted
8925.95	TIU DOCUMENT PARAMETERS	^TIU(8925.95,		35	0	8	23	N											extracted
8925.951	PROCESSING STEPS SUB-FIELD	^TIU(8925.95,	8925.95	6	0	2													extracted
8925.952	DIVISION SUB-FIELD	^TIU(8925.95,	8925.95	3	0	3													extracted
8925.954	FILING ERROR ALERT RECIPIENTS SUB-FIELD	^TIU(8925.95,	8925.95	1	0	1													extracted
8925.955	USERS REQUIRING COSIGNATURE SUB-FIELD	^TIU(8925.95,	8925.95	1	0	1													extracted
8925.956	HEADING SUB-FIELD	^TIU(8925.95,	8925.95	1	0	0													extracted
8925.957	FOOTER SUB-FIELD	^TIU(8925.95,	8925.95	1	0	0													extracted
8925.958	CLOSING SUB-FIELD	^TIU(8925.95,	8925.95	1	0	0													extracted
8925.97	TIU CONVERSIONS	^TIU(8925.97,		11	0	0	4	N											extracted
8925.98	TIU PERSONAL DOCUMENT TYPE LIST	^TIU(8925.98,		5	0	4	157	N											extracted
8925.9801	PERSONAL DOCUMENT LIST SUB-FIELD	^TIU(8925.98,	8925.98	3	0	1													extracted
8925.99	TIU PARAMETERS	^TIU(8925.99,		31	0	3	5	N											extracted
8925.9901	COPY/PASTE USERCLASS SUB-FIELD	^TIU(8925.99,	8925.99	1	0	1													extracted
8925.9902	DICTATION INSTRUCTIONS SUB-FIELD	^TIU(8925.99,	8925.99	1	0	0													extracted
8925.992	UPLOAD ERROR ALERT RECIPIENT SUB-FIELD	^TIU(8925.99,	8925.99	1	0	1													extracted
8926	TIU PERSONAL PREFERENCES	^TIU(8926,		15	0	3	118	N											extracted
8926.01	LOCATION BY DAY OF WEEK SUB-FIELD	^TIU(8926,	8926	2	0	1													extracted
8926.1	TIU VHA ENTERPRISE STANDARD TITLE	^TIU(8926.1,		10	1	5	3336	N											extracted
8926.12	CODING SYSTEM SUB-FIELD	^TIU(8926.1,	8926.1	2	0	0													extracted
8926.121	CODE SUB-FIELD	^TIU(8926.1,	8926.12	1	0	0													extracted
8926.199	EFFECTIVE DATE/TIME SUB-FIELD	^TIU(8926.1,	8926.1	2	0	0													extracted
8926.2	TIU LOINC SUBJECT MATTER DOMAIN	^TIU(8926.2,		5	2	0	184	N											extracted
8926.299	EFFECTIVE DATE/TIME SUB-FIELD	^TIU(8926.2,	8926.2	2	0	0													extracted
